sentiment,en_text,ace_text,acehnese_pppl
positive,i was really excited to shed some light on her childhood memories and shed some more details about my appreciative demons.,lon sunggoh teugageh untuk geubri cahaya keu kenangan masa ubeut jih dan geubri padum-padum boh detail tentang setan-setan lon yang menghargai.,44.63
positive,"welders demonstrate the determination that they will be successful with zero crime and despite all that crime, we can celebrate this milestone with a smile on our face.","tukang las menunjukkan penentuan bahwa awak nyan akan sukses deungon kriminalitas nol dan meskipun mandum kejahatan nyan, geutanyoe jeut ta peuraya tonggak nyoe deungon senyuman bak muka geutanyoe.",63.6
positive,a vertical painting of the burning bush in vibrant gold and neutral tones is an interesting composition,saboh lukisan vertikal semak-semak nyang meu-ulang-ulang lam warna meuh nyang meu-ulang-ulang dan neutral nakeuh saboh komposisi nyang menarik .,7.19
positive,star of show i guess i'm in for a pleasant surprise when i start my orientation today.,bintang acara i tebakan lon untuk kejutan yang menyenangkan watee lon mulai orientasi lon uroe nyoe.,34.35
positive,i have a strong inclination to give you what you need when you need it the most... given that i want you to go forth and do what i do because of you has a deep and abiding love for me and a great respect for me.,lon na kecenderungan yang teuga untuk neubri keu droeneuh peu yang droeneuh peureulee watee droeneuh paleng peureulee nyan... mengingat lon ingin droeneuh jak dan peugot peu yang lon peugot karena droeneuh na cinta yang mendalam dan teutap bagi lon dan hormat yang rayeuk bagi lon.,11.1
positive,i feel like a miracle because i don t have to wear my gloved hand when i get there.,i rasa lagee keajaiban sabab lon hana harus lon pakek jaroe lon yang sarung jaroe watee lon troh keunan.,78.24
positive,we are such a beautiful place that we can respect each other for all that we have in common and enjoy the lovely landscapes.,geutanjoë nakeuh teumpat njang that lagak sampoë geutanjoë djeuët saleng meu-hormat keu bandum njang na bak geutanjoë dan tanikmati landskap njang djroh.,72.93
positive,happy happy child and his happy world and the yummy tasty cereals.,bahagia aneuk bahagia aneuk dan donya bahagianya dan sereal yang mangat.,57.4
positive,i still love this sweater and my new sweater is a happy ever after.,lon mantong galak keu sweater nyoe dan sweater baroe lon nakeuh saboh bahagia nyang bahagia.,37.96
positive,a nutmeg the one and only nut that makes me smile is the only one that manages to be affordable and adjust to its surroundings,a pala nyang saboh dan hanya kacang nyang jeut keu lon senyum nakeuh saboh-saboh jih nyang berhasil jeut keu terjangkau dan menyesuaikan droe ngon lingkungan jih .,72.4
positive,basil and soft pink pillows are cozy from the restful and uplifting ambience of this home made pizza place.,bantal pink nyang leumoh nyan nyaman dari ambience nyang ka tenang dan meutamah dari teumpat pizza nyang dipeugot le pizza nyoe.,93.68
positive,a dash of the hilarious has achieved his mission of hosting a big celebration for a bunch of people with an abundance of food and alcohol.,saboh putus-putus ureung lucu nyan ka meucapai misi jih untuk hosting saboh peurayaan rayeuk keu saboh kelompok ureung-ureung nyang le that makanan dan alkohol.,99.64
positive,yeah thats what i said. brilliant. and i didnt do anything to make the grade but the machine was so beautiful.,ya nyan keuh nyang lon peugah. ceudah. dan lon hana lon peugot sapeu peugot grade tapi meusen nyan that lagak.,88.11
positive,folks and their giggling and smiling faces as they gather to stack ingredients in a kitchen on the porch,folks dan muka awaknyan dan meusenyum watee awaknyan jikumpoi untuk jitumpôk bahan-bahan lam dapu di beranda .,96.13
positive,i think we should all strive to make everyone better. if we all took a little extra time and effort to just take care of one another.,lon pike geutanyoe mandum harus ta usahakan untuk tapeugot mandum ureung leubeh get. meunyo geutanyoe mandum tacok watee ekstra bacut dan usaha untuk ta jaga mantong.,76.42
positive,greeting a new friend who has come to see you and be one of my own be sure to communicate your beef and welcome,saleum rakan baro nyang ka teuka jak kalon droeneuh dan jeut keu salah sidroe lon keudroe nyang pasti akan neukomunikasikan leumo droeneuh dan neusambot .,96.97
positive,a beautiful card referring to the fabulous letter you have sent to your sweetheart and a fork.,saboh kartu nyang lagak nyang merujuk keu surat nyang luar biasa nyang ka gata kirem keu sayang dan saboh garpu.,19.92
positive,you can be happy because there is always a gentle reminder that you have a substance and that there is some substance to your perception.,kamoe jeut keu bahagia sabab sabe na peuingat nyang lembut bahwa droeneuh na zat dan na padum-padum boh zat dari persepsi droeneuh.,88.07
positive,he has discipline and he fills his life with happiness because he will have the foundation and a well-filled life full of passion and joy.,gobnyan na disiplin dan gobnyan peunoh udeb gobnyan deungon bahagia sabab gobnyan teuma na landasan dan udeb nyang peunoh deungon nafsu dan keusukaan.,7.91
positive,"A fast paced, cheerful, uplifting conversation between friends about something that she never regrets and an plumber who works on some pipes.","Percakapan yang bagah, ceria, meuningkat antara rakan-rakan tentang sesuatu yang hana pernah jih menyesal dan tukang ledeng yang bekerja bak padum-padum boh pipa.",38.67
positive,"there is good to be said for the good of diversity and prosperity, and for foods made with ingredients that promote the good life.","na nyang jroh keu tapeugah keu keubaikan dan kemakmuran, dan keu makanan nyang geupeugot ngon bahan-bahan nyang mempromosikan udep nyang jroh.",15.46
positive,you deserve more than just to fly free and show off your cute new horn,kamoe pantas leubeh dari sekedar untuk terbang bebas dan pamerkan tanduk baro yang lucu,33.61
positive,any country or condition can have fun at any time of the year and farmers are always in good spirits getting dressed up,nanggroe atawa kondisi peu mantong jeut keu meusenang-senang bak watee peu mantong lam thon dan petani sabee lam roh-roh nyang jroh nyang meupake .,41.29
positive,"love this image of our friend waking up, she is now using a large plastic bag with a huge stack of rice, and my dear my little angel is trying to finish her assignment","cinta keu gamba rakan geutanyoe nyoe beudoh, jinoe gobnyan teungoh geupake kantong plastik rayeuk deungon tumpukan padi nyang rayeuk that, dan lon sayang malaikat lon nyang ubit nyoe keuneuk peuseuleusoe tugaih jih .",60.61
positive,i am driven by a passion that has made me an expert in what it takes to be a great DJ and dancer.,lon didorong le gairah yang ka jeut keu lon ahli dalam peu yang dibutuhkan untuk jeut keu DJ dan penari yang hebat.,18.49
positive,a beautiful woman is wearing a blue dress and blue jeans with a long fringe on her cheeks and drinking from a drink with packaged produce currently hanging in her closet.,sidroe inong nyang lagak that geungui bajee biru dan jeans biru ngon pinggiran panyang bak pipi gobnyan dan geu-jiep dari jiep ngon hasil nyang ka geukemas jinoe meugantung bak lemari gobnyan.,68.77
positive,this huge crater fills with millions of dollars in gold and is one of the few areas i admire and the economics are huge.,kawah rayeuk nyoe peunoh ngon meujuta-juta dolar meuh dan nakeuh salah saboh dari padum-padum boh daerah nyang lon kagum dan ekonomi jih that rayeuk.,74.66
